DATE,AGE_RANGE,AR_CASECOUNT,AR_TOTALPERCENT,NEW_ARCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
2020-03-19,0-10 years,2,0.01,2,0.012987012987013,,
2020-03-19,11-20 years,9,0.06,9,0.0584415584415584,,
2020-03-19,21-30 years,43,0.28,43,0.279220779220779,,
2020-03-19,31-40 years,32,0.21,32,0.207792207792208,,
2020-03-19,41-50 years,24,0.16,24,0.155844155844156,,
2020-03-19,51-60 years,18,0.12,18,0.116883116883117,,
2020-03-19,61-70 years,10,0.06,10,0.0649350649350649,,
2020-03-19,71-80 years,8,0.05,8,0.051948051948052,,
2020-03-19,81+ years,8,0.05,8,0.051948051948052,,
2020-03-20,0-10 years,3,0.01,1,0.0135135135135135,,
2020-03-20,11-20 years,12,0.05,3,0.0405405405405405,,
2020-03-20,21-30 years,72,0.32,29,0.391891891891892,,
2020-03-20,31-40 years,47,0.21,15,0.202702702702703,,
2020-03-20,41-50 years,35,0.15,11,0.148648648648649,,
2020-03-20,51-60 years,26,0.11,8,0.108108108108108,,
2020-03-20,61-70 years,16,0.07,6,0.0810810810810811,,
2020-03-20,71-80 years,13,0.06,5,0.0675675675675676,,
2020-03-20,81+ years,4,0.02,-4,-0.0540540540540541,,
2020-03-21,0-10 years,4,0.01,1,0.00699300699300699,,
2020-03-21,11-20 years,20,0.05,8,0.0559440559440559,,
2020-03-21,21-30 years,122,0.33,50,0.34965034965035,,
2020-03-21,31-40 years,59,0.16,12,0.0839160839160839,,
2020-03-21,41-50 years,60,0.16,25,0.174825174825175,,
2020-03-21,51-60 years,46,0.12,20,0.13986013986014,,
2020-03-21,61-70 years,31,0.08,15,0.104895104895105,,
2020-03-21,71-80 years,20,0.05,7,0.048951048951049,,
2020-03-21,81+ years,5,0.01,1,0.00699300699300699,,
2020-03-21,Pending,4,0.01,4,0.027972027972028,,
2020-03-22,0-10 years,6,0.01,2,0.0149253731343284,,
2020-03-22,11-20 years,30,0.06,10,0.0746268656716418,,
2020-03-22,21-30 years,162,0.32,40,0.298507462686567,,
2020-03-22,31-40 years,88,0.17,29,0.216417910447761,,
2020-03-22,41-50 years,74,0.15,14,0.104477611940299,,
2020-03-22,51-60 years,67,0.13,21,0.156716417910448,,
2020-03-22,61-70 years,44,0.09,13,0.0970149253731343,,
2020-03-22,71-80 years,25,0.05,5,0.0373134328358209,,
2020-03-22,81+ years,8,0.02,3,0.0223880597014925,,
2020-03-22,Pending,1,0.0,-3,-0.0223880597014925,,
2020-03-23,0-10 years,9,0.0,3,0.0272727272727273,,
2020-03-23,11-20 years,37,0.0610561056105611,7,0.0636363636363636,,
2020-03-23,21-30 years,184,0.303630363036304,22,0.2,,
2020-03-23,31-40 years,116,0.191419141914191,28,0.254545454545455,,
2020-03-23,41-50 years,82,0.135313531353135,8,0.0727272727272727,,
2020-03-23,51-60 years,83,0.136963696369637,16,0.145454545454545,,
2020-03-23,61-70 years,55,0.0907590759075908,11,0.1,,
2020-03-23,71-80 years,32,0.0528052805280528,7,0.0636363636363636,,
2020-03-23,81+ years,11,0.0181518151815182,3,0.0272727272727273,,
2020-03-23,Pending,6,0.0099009900990099,5,0.0454545454545455,,
2020-03-24,0-10 years,9,0.0148514851485149,0,0.0,,
2020-03-24,11-20 years,41,0.01,4,0.0769230769230769,,
2020-03-24,21-30 years,193,0.02,9,0.173076923076923,,
2020-03-24,31-40 years,126,0.02,10,0.192307692307692,,
2020-03-24,41-50 years,89,0.01,7,0.134615384615385,,
2020-03-24,51-60 years,91,0.01,8,0.153846153846154,,
2020-03-24,61-70 years,65,0.01,10,0.192307692307692,,
2020-03-24,71-80 years,34,0.0,2,0.0384615384615385,,
2020-03-24,81+ years,12,0.0,1,0.0192307692307692,,
2020-03-24,Pending,7,0.0,1,0.0192307692307692,,
2020-03-25,0-10 years,12,0.02,3,0.0256410256410256,,
2020-03-25,11-20 years,46,0.06,5,0.0427350427350427,,
2020-03-25,21-30 years,224,0.29,31,0.264957264957265,,
2020-03-25,31-40 years,144,0.18,18,0.153846153846154,,
2020-03-25,41-50 years,109,0.14,20,0.170940170940171,,
2020-03-25,51-60 years,105,0.13,14,0.11965811965812,,
2020-03-25,61-70 years,80,0.1,15,0.128205128205128,,
2020-03-25,71-80 years,43,0.05,9,0.0769230769230769,,
2020-03-25,81+ years,14,0.02,2,0.0170940170940171,,
2020-03-25,Pending,7,0.01,0,0.0,,
2020-03-26,0-10 years,13,0.01,1,0.00578034682080925,,
2020-03-26,11-20 years,56,0.06,10,0.0578034682080925,,
2020-03-26,21-30 years,260,0.27,36,0.208092485549133,,
2020-03-26,31-40 years,161,0.17,17,0.0982658959537572,,
2020-03-26,41-50 years,151,0.16,42,0.242774566473988,,
2020-03-26,51-60 years,141,0.15,36,0.208092485549133,,
2020-03-26,61-70 years,96,0.1,16,0.092485549132948,,
2020-03-26,71-80 years,56,0.06,13,0.0751445086705202,,
2020-03-26,81+ years,16,0.02,2,0.0115606936416185,,
2020-03-26,Pending,7,0.01,0,0.0,,
2020-03-27,0-10 years,15,0.01,2,0.00813008130081301,,
2020-03-27,11-20 years,63,0.05,7,0.0284552845528455,,
2020-03-27,21-30 years,314,0.26,54,0.219512195121951,,
2020-03-27,31-40 years,194,0.16,33,0.134146341463415,,
2020-03-27,41-50 years,196,0.16,45,0.182926829268293,,
2020-03-27,51-60 years,191,0.16,50,0.203252032520325,,
2020-03-27,61-70 years,126,0.1,30,0.121951219512195,,
2020-03-27,71-80 years,75,0.06,19,0.0772357723577236,,
2020-03-27,81+ years,20,0.02,4,0.016260162601626,,
2020-03-27,Pending,9,0.01,2,0.00813008130081301,,
