DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
2020-03-05,Shelby,,,,,,,,,,,,,,,,,,
2020-03-05,Williamson,1.0,,,,,,,,,,,,,,,,,
2020-03-06,Davidson,,,,,,,,,,,,,,,,,,
2020-03-06,Williamson,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-07,Williamson,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-08,Davidson,1.0,,,,,,,,,,,,,,,,,
2020-03-08,Shelby,1.0,,,,,,,,,,,,,,,,,
2020-03-08,Williamson,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-09,Davidson,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-09,Hamilton,,,,,,,,,,,,,,,,,,
2020-03-09,Knox,,,,,,,,,,,,,,,,,,
2020-03-09,Pending,1.0,,,,,,,,,,,,,,,,,
2020-03-09,Shelby,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-09,Sullivan,,,,,,,,,,,,,,,,,,
2020-03-09,Williamson,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-10,Davidson,2.0,1.0,,,,,,,,,,,,,,,,
2020-03-10,Shelby,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-10,Sullivan,1.0,,,,,,,,,,,,,,,,,
2020-03-10,Williamson,3.0,2.0,,,,,,,,,,,,,,,,
2020-03-11,Campbell,,,,,,,,,,,,,,,,,,
2020-03-11,Davidson,2.0,0.0,,,,,,,,,,,,,,,,
2020-03-11,Jefferson,,,,,,,,,,,,,,,,,,
2020-03-11,Knox,,,,,,,,,,,,,,,,,,
2020-03-11,Rutherford,,,,,,,,,,,,,,,,,,
2020-03-11,Shelby,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-11,Sullivan,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-11,Williamson,5.0,2.0,,,,,,,,,,,,,,,,
2020-03-12,Davidson,6.0,4.0,,,,,,,,,,,,,,,,
2020-03-12,Hamilton,,,,,,,,,,,,,,,,,,
2020-03-12,Knox,1.0,,,,,,,,,,,,,,,,,
2020-03-12,Shelby,2.0,1.0,,,,,,,,,,,,,,,,
2020-03-12,Sullivan,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-12,Williamson,8.0,3.0,,,,,,,,,,,,,,,,
2020-03-13,Anderson,,,,,,,,,,,,,,,,,,
2020-03-13,Bradley,,,,,,,,,,,,,,,,,,
2020-03-13,Davidson,10.0,4.0,,,,,,,,,,,,,,,,
2020-03-13,Hamilton,1.0,,,,,,,,,,,,,,,,,
2020-03-13,Jefferson,1.0,,,,,,,,,,,,,,,,,
2020-03-13,Knox,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-13,Rutherford,1.0,,,,,,,,,,,,,,,,,
2020-03-13,Sevier,,,,,,,,,,,,,,,,,,
2020-03-13,Shelby,2.0,0.0,,,,,,,,,,,,,,,,
2020-03-13,Sullivan,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-13,Sumner,,,,,,,,,,,,,,,,,,
2020-03-13,Tipton,,,,,,,,,,,,,,,,,,
2020-03-13,Williamson,9.0,1.0,,,,,,,,,,,,,,,,
2020-03-14,Campbell,1.0,,,,,,,,,,,,,,,,,
2020-03-14,Cheatham,,,,,,,,,,,,,,,,,,
2020-03-14,Davidson,14.0,4.0,,,,,,,,,,,,,,,,
2020-03-14,Dekalb,,,,,,,,,,,,,,,,,,
2020-03-14,Hamilton,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-14,Jefferson,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-14,Knox,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-14,McMinn,,,,,,,,,,,,,,,,,,
2020-03-14,Rutherford,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-14,Shelby,2.0,0.0,,,,,,,,,,,,,,,,
2020-03-14,Sullivan,1.0,0.0,,,,,,,,,,,,,,,,
2020-03-14,Sumner,,,,,,,,,,,,,,,,,,
2020-03-14,Williamson,10.0,1.0,,,,,,,,,,,,,,,,
2020-03-15,Campbell,1.0,0.0,,,,,,,,,,,,,,,,
