DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSP,TOTAL_HOSP
2020-03-04,0,,,,,,,,,,,,,,,,,
2020-03-05,1,1.0,,,,,,,,,,,,,,,,
2020-03-06,1,0.0,,,,,,,,,,,,,,,,
2020-03-07,1,0.0,,,,,,,,,,,,,,,,
2020-03-08,3,2.0,,,,,,,,,,,,,,,,
2020-03-09,4,1.0,,,,,,,,,,,,,,,,
2020-03-10,7,3.0,,,,,,,,,,,,,,,,
2020-03-11,9,2.0,,,,,,,,,,,,,,,,
2020-03-12,18,9.0,,,,,,,,,,,,,,,,
2020-03-13,26,8.0,,,,,,,,,,,,,,,,
2020-03-14,32,6.0,,,,,,,,,,,,,,,,
2020-03-15,39,7.0,,,,,,,,,,,,,,,,
2020-03-16,52,13.0,,,,,,,,,,,,,,,,
2020-03-17,73,21.0,,,,,,,,,,,,,,,,
2020-03-18,98,25.0,,,,,,,,,,,,,,,,
2020-03-19,154,56.0,,,,,,,,,,,,,,,,
2020-03-20,228,74.0,,,,,,,,,,0.0,,,,,,
2020-03-21,371,143.0,,,,,,,,,1.0,1.0,,,,,,
2020-03-22,505,134.0,,,,,,,,,1.0,2.0,,,,,,
2020-03-23,615,110.0,,,,,,,,,0.0,2.0,,,,,,
2020-03-24,667,52.0,,,,,667.0,10477.0,11144.0,,0.0,2.0,,,,,,
2020-03-25,784,117.0,,,,,784.0,11012.0,11796.0,652.0,1.0,3.0,,,,781.0,,53.0
2020-03-26,957,173.0,,,,,957.0,13952.0,14909.0,3113.0,0.0,3.0,,,173.0,954.0,23.0,76.0
2020-03-27,1203,246.0,,,,,1203.0,14888.0,16091.0,1182.0,3.0,6.0,,,243.0,1197.0,27.0,103.0
2020-03-28,1373,170.0,,,,,1373.0,16965.0,18338.0,2247.0,0.0,6.0,,,170.0,1367.0,15.0,118.0
2020-03-29,1537,164.0,,,,,1537.0,19037.0,20574.0,2236.0,1.0,7.0,,,163.0,1530.0,15.0,133.0
2020-03-30,1834,297.0,,,,,1834.0,21470.0,23304.0,2730.0,6.0,13.0,,109.0,182.0,1712.0,15.0,148.0
2020-03-31,2239,405.0,,,,,2239.0,25121.0,27360.0,4056.0,10.0,23.0,12.0,121.0,383.0,2095.0,27.0,175.0
2020-04-01,2683,444.0,,,,,2683.0,29769.0,32452.0,5092.0,1.0,24.0,16.0,137.0,427.0,2522.0,25.0,200.0
2020-04-02,2845,162.0,,,,,2845.0,31766.0,34611.0,2159.0,8.0,32.0,83.0,220.0,71.0,2593.0,63.0,263.0
2020-04-03,3067,222.0,,,,,3067.0,34772.0,37839.0,3228.0,5.0,37.0,28.0,248.0,189.0,2782.0,30.0,293.0
2020-04-04,3321,254.0,,,,,3321.0,38070.0,41391.0,3552.0,6.0,43.0,27.0,275.0,221.0,3003.0,18.0,311.0
2020-04-05,3633,312.0,,,,,3633.0,41667.0,45300.0,3909.0,1.0,44.0,20.0,295.0,291.0,3294.0,17.0,328.0
2020-04-06,3802,169.0,,,,,3802.0,43548.0,47350.0,2050.0,21.0,65.0,61.0,356.0,87.0,3381.0,24.0,352.0
2020-04-07,4138,336.0,,,,,4138.0,48736.0,52874.0,5524.0,7.0,72.0,110.0,466.0,219.0,3600.0,56.0,408.0
2020-04-08,4362,224.0,,,,,4362.0,52256.0,56618.0,3744.0,7.0,79.0,126.0,592.0,91.0,3691.0,41.0,449.0
2020-04-09,4634,272.0,,,,,4634.0,55215.0,59849.0,3231.0,15.0,94.0,329.0,921.0,-72.0,3619.0,56.0,505.0
2020-04-10,4862,228.0,,,,,4862.0,57937.0,62799.0,2950.0,4.0,98.0,224.0,1145.0,0.0,3619.0,31.0,536.0
2020-04-11,5114,252.0,,,,,5114.0,61714.0,66828.0,4029.0,3.0,101.0,241.0,1386.0,8.0,3627.0,20.0,556.0
2020-04-12,5308,194.0,,,,,5308.0,65369.0,70747.0,3919.0,0.0,101.0,118.0,1504.0,76.0,3703.0,11.0,567.0
2020-04-13,5610,302.0,,,,,5610.0,70585.0,76195.0,5448.0,8.0,109.0,167.0,1671.0,127.0,3830.0,12.0,579.0
2020-04-14,5823,213.0,,,,,5823.0,73008.0,78831.0,2636.0,15.0,124.0,298.0,1969.0,-100.0,3730.0,54.0,633.0
